Cell_address,model_cdem,model_hrdem
5002019930,-32767.0,
5001980564,332.8,336.5
5001960881,-32767.0,
5001921515,351.7,349.5
5001941199,-32767.0,
5001901832,-32767.0,
5001882150,-32767.0,
5001842783,-32767.0,334.6
5001823101,-32767.0,
5001783734,-32767.0,330.6
5001764052,-32767.0,
5001724685,-32767.0,313.4
5001705003,-32767.0,
5001665636,-32767.0,319.8
5001645954,-32767.0,
5001606587,-32767.0,327.4
5001586905,-32767.0,
5001547538,-32767.0,331.6
5001527856,-32767.0,
5001488489,-32767.0,307.0
5001468807,-32767.0,
5001429440,-32767.0,306.1
5001409758,-32767.0,
5001370391,-32767.0,298.4
5001350709,-32767.0,
5001311342,-32767.0,298.9
5001291660,-32767.0,
5001252293,-32767.0,299.1
5001232611,-32767.0,
5001193244,-32767.0,322.4
5001173562,-32767.0,
5001134195,-32767.0,307.8
5001114513,-32767.0,
5001075146,-32767.0,329.8
5001055464,-32767.0,
5001016097,-32767.0,316.9
5000996415,-32767.0,
5000957048,-32767.0,320.8
5000937366,-32767.0,
5000897999,-32767.0,335.1
5000878317,-32767.0,
5000838950,-32767.0,339.5
5000819268,-32767.0,
5000779901,-32767.0,337.6
5000760219,-32767.0,
5002039613,-32767.0,
5001862466,343.3,341.3
5001803417,330.8,333.0
5001744368,329.1,323.8
5001685319,310.6,315.7
5001626270,321.0,322.8
5001567221,329.5,327.8
5001508172,315.9,314.2
5001449123,312.5,312.0
5001390074,296.7,298.7
5001331025,295.7,295.7
5001271976,304.9,304.3
5001212927,309.4,311.0
5001153878,309.8,316.9
5001094829,303.7,307.1
5001035780,326.8,329.4
5000976731,327.7,331.9
5000917682,331.0,330.2
5000858633,351.5,351.4
5000799584,339.7,344.2
5000740535,-32767.0,
5002000247,321.7,325.4
5001941198,338.0,338.6
5001882149,335.9,338.2
5001823100,329.9,332.0
5001764051,330.7,329.2
5001705002,322.3,321.7
5001645953,309.7,313.2
5001586904,320.3,321.6
5001527855,321.2,323.5
5001468806,335.7,336.2
5001409757,308.4,307.4
5001350708,300.7,307.1
